--- Preview data ---
CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,AgeGroup,BalanceSalaryRatio,CreditScoreBucket
-0.3262214220367463,0,0,0.2935174228967471,-1.0417596792253108,-1.2258476714090278,1,1,1,0.021886493995386117,1,Young,-1.1995927909920712,
-0.4400359548576657,2,0,0.1981638321954454,-1.3875375865624426,0.11735002143511059,1,0,1,0.21653375188734025,0,Young,0.09646261047262587,
-1.536794180222889,0,0,0.2935174228967471,1.03290776479748,1.3330533457228904,3,1,0,0.24068690006348814,1,Young,1.0744478285816315,
0.5015206348426676,0,0,0.0074566507928420294,-1.3875375865624426,-1.2258476714090278,2,0,0,-0.10891791702847127,0,Young,-1.375684344725171,Low
2.063883767202561,2,0,0.38887101359804876,-1.0417596792253108,0.7857278997960591,1,1,1,-0.36527578251440274,0,Young,1.2379043971390429,Low
-0.05720525355093678,2,1,0.48422460429935044,1.03290776479748,0.5973285944410414,2,1,0,0.8636502870218095,1,Young,0.32051538778533245,
1.7741740472947665,0,1,1.0563461485071606,0.6871298574603482,-1.2258476714090278,2,1,1,-1.5654872211931183,0,Young,2.167772542804095,Low
-2.840487919807966,1,0,-0.9460792562201749,-0.35020386455104724,0.6180189508533646,4,1,0,0.33485372981012046,1,Young,0.46298627111846646,
-1.5471409559338818,0,1,0.48422460429935044,-0.35020386455104724,1.0508202865849028,2,0,1,-0.4373288460949081,0,Young,1.86755670570976,
0.3463189991777775,0,1,-1.1367864376227783,-1.0417596792253108,0.9314633619936777,1,1,1,-0.49323048409247083,0,,1.8380414226881852,Low

--- Customer distribution by AgeGroup ---
AgeGroup,Customers
,1293
Young,8707

--- Balance-Salary ratio by CreditScoreBucket ---
CreditScoreBucket,AVG(BalanceSalaryRatio)
,-6.791109876638046
Low,-4.965847709228383

--- Average CreditScore by Active Member ---
IsActiveMember,AVG(CreditScore)
0,-0.02643805227710643
1,0.024888005337154774

--- Churned customers by Geography ---
Geography,Churned_Customers
0,810
1,814
2,413

